,nombre
0,0-600
1,2 minutos
2,ACRU
3,ALBERTO GINASTERA
4,ALEJANDRO DOLINA
5,ARTIX!
6,Abel Aznar
7,Abel Fleury
8,Abel Pintos
9,Abril Olivera
10,Aca Seca Trio
11,Actitud Maria Marta
12,Acus
13,Ada Falcón
14,Adolfo Avilés
15,Adolfo Carabelli
16,Adolfo Carabelli y su Orquesta Típica
17,Adolfo Rivas
18,Adrian Dargelos
19,Adriana Varela
20,Adrián Abonizio
21,Adrián Iaies
22,Adrián Juárez
23,Adrián Otero
24,Afrosound Choir
25,Agapornis
26,Agos Nisi
27,Agus Cassano
28,Agustin Magaldi
29,Agustín Bardi
30,Agustín Guerrero
31,Agustín Irusta
32,Agustín Volpe
33,Ainda
34,Alambre Gonzalez
35,Alan Plachta
36,Alberto Amor
37,Alberto Carol
38,Alberto Castillo
39,Alberto Cortez
40,Alberto Diale
41,Alberto Echagüe
42,Alberto Ginastera
43,Alberto Gomez
44,Alberto Lago
45,Alberto Marino
46,Alberto Moran
47,Alberto Morán
48,Alberto Podestá
49,Alberto Rojo
50,Alberto Williams
51,Aldo Calderón
52,Ale Sergi
53,Alejandro Del Prado
54,Alejandro Franov
55,Alejandro Kauderer
56,Alejandro Lerner
57,Alejandro Manzoni
58,Alejandro Medina
59,Alejandro Picciano
60,Alejandro Terán
61,Alex Hoyer
62,Alfredo Abalos
63,Alfredo Alcón
64,Alfredo Belusi
65,Alfredo Casero
66,Alfredo De Angelis
67,Alfredo Del Río
68,Alfredo Gobbi
69,Alfredo Gobbi y su Orquesta Típica
70,Alfredo Lichter
71,Alfredo Remus
72,Alfredo Toth
73,Alicia Terzian
74,Almafuerte
75,Altocamet
76,Amadeo Mandarino
77,Amadeo Monges
78,Amelita Baltar
79,Americo Belloto
80,Amilcar Nadal
81,Amor Elefante
82,An Espil
83,AnToN KuRT
84,Anabella Cartolano
85,Andrea Prodan
86,Andres Chazarreta
87,Andres Falgas
88,Andrés Beeuwsaert
89,Andrés Calamaro
90,Andrés Chazarreta
91,Andrés Falgás
92,Andrés Gimenez
93,Andrés Goldstein
94,Andrés Ruiz
95,Andrés Spiller
96,Andy Chango
97,Angel Calvo
98,Angel Dominguez
99,Angel Vargas
100,Angel Villoldo
101,Angela Torres
102,Anibal Kerpel
103,Anibal Troilo
104,Anibal Troilo Y Su Cuarteto
105,Anton Arensky
106,Antonio Agri
107,Antonio Birabent
108,Antonio Buglione
109,Antonio Carrizo
110,Antonio Maida
111,Antonio Polito
112,Antonio Rios
113,Antonio Sinopoli
