,cancion
0,"""Astoreando"", para Dos Pianos"
1,"""Astoreando"", para Dos Pianos"
2,"""Dos Minutos Con la Realidad"", para Dos Pianos, Viola, Contrabajo y Bandoneón"
3,"""Dos Minutos Con la Realidad"", para Dos Pianos, Viola, Contrabajo y Bandoneón"
4,"""Interludio"" De Estudios Para ""Descripción De La Luna"" Para Flauta En Sol Y Gong"
5,"""Libertango"", para Piano, Viola, Contrabajo y Bandoneón"
6,"""Libertango"", para Piano, Viola, Contrabajo y Bandoneón"
7,"""Milonga del Angel"", para Dos Pianos, Viola, Contrabajo y Bandoneón"
8,"""Milonga del Angel"", para Dos Pianos, Viola, Contrabajo y Bandoneón"
9,"""Moda Tango"", para Piano, Viola, Contrabajo y Bandoneón"
10,"""Oblivión"" del Concierto ""Aconcagua"", ""Tema de María"", ""Verano Porteño"", ""Cadencia"" del Concierto ""Aconcagua"", ""La Muerte del Angel"", ""Lo que Vendrá"", ""Decarísimo"", para Bandoneón"
11,"""Sur"" y ""La Última Curda"", para Bandoneón"
12,#1 El Primer Reggae Argentino/Scaba Badi Bidu - 50 Aniversario
13,#AttentionWhore (feat. Leo Garcia)
14,#XDTRA
15,#Ysya2020 Vol. 1 - Una de Dos
16,#Ysya2020 Vol. 2 - De la Ciudad del Tango
17,#Ysya2020 Vol. 3 - Dos Cajas de Globos
18,#Ysya2020 Vol. 4 - Pasa Que Yo
19,#Ysya2020 Vol. 5 - Silbando
20,#Ysya2020 Vol. 6 - Un Flow de Infarto
21,$$$ (Dame Ma$) (feat. Marina Fages)
22,'A Vucchella
23,(626) - Jazz Online Club Sessions
24,(Eran) Dos Vueltas
25,(In Your) New Life
26,(Ya fue) Nos vemos luego
27,***
28,***
29,***
30,0800
31,099 Central (Tangoloco)
32,10 Cantilenas argentinas (arr. for chamber orchestra): Final: Romance en Colastine
33,10 Cantilenas argentinas (arr. for chamber orchestra): No. 10. La casa
34,10 Cantilenas argentinas (arr. for chamber orchestra): No. 4. El Ceibo
35,10 Cantilenas argentinas (arr. for chamber orchestra): No. 6. Juanita
36,10 Cantilenas argentinas: No. 1. … Santa Fe para llorar (arr. for guitar)
37,10 Cantilenas argentinas: No. 8. Santa Fe antiguo (arr. for guitar)
38,10 Cantos populares (arr. for violin and guitar): No. 1. —
39,10 Cantos populares (arr. for violin and guitar): No. 2. —
40,10 Cantos populares (arr. for violin and guitar): No. 3. —
41,10 pasos
42,1312
43,1312
44,14 y Se Fue la Vieja - Remasterizado
45,180 Grados
46,19
47,19 (feat. Gustavo Cerati)
48,1900
49,1937
50,2 Etudes: En forma de vidala (In the Form of a Vidala)
51,2 Etudes: En forma de vidala (In the Form of a Vidala)
52,2 Etudes: En forma de zamba (In the Form of a Zamba)
53,2 Etudes: En forma de zamba (In the Form of a Zamba)
54,2.0.1.9
55,2.0.1.9
56,23 de Agosto
57,24 De Agosto
58,24 Horas
59,"24 Préludes, Op. 28: No. 15 in D-Flat Major: Sostenuto"
60,"24 Préludes, Op. 28: No. 4 in E Minor"
61,24K
62,25 de Mayo
63,25 de Mayo - Remasterizado
64,2:50 Remix
65,2:50 Remix
66,3 Am
67,3 Danzas argentinas: Chacarera
68,3 Danzas argentinas: Gato
69,3 Danzas argentinas: Tango
70,3 Likes
71,3 Minutos con la Realidad: Tres minutos con realidad
72,3 Piezas Rioplatenses: Don Julian
73,3 Piezas Rioplatenses: Rojo y negro
74,3 Piezas Rioplatenses: Septiembre
75,3 Piezas criollas: No. 1. Lamento quichua (arr. for chamber orchestra)
76,3 Piezas: Chacarera Ututa
77,3 Piezas: De la rais a la copa
78,3 Piezas: Del buen riego
79,3 Preludes: No. 1. Leijia's game: Tango
80,3 Preludes: No. 1. Nocturno
81,3 Preludes: No. 2. Flora's game: Milonga
82,3 Preludes: No. 2. Noche en la Sierra
83,3 Preludes: No. 3. En el Canaveral
84,3 Preludes: No. 3. Sunny's game: Valse
85,3 Romances argentinos: I. Las niñas
86,3 Tangos
87,3 de Octubre
88,30 Denarios
89,4 Compositions: No. 1. Vieja Cancion
90,4 Compositions: No. 2. En bateau
91,4 Compositions: No. 3. Berceuse
92,4 Compositions: No. 4. Arabesca
93,"4 Madrigales, Op. 39: No. 1. Andante espressivo"
94,"4 Madrigales, Op. 39: No. 2. Allegretto rubato"
95,"4 Madrigales, Op. 39: No. 3. Moderato"
96,"4 Madrigales, Op. 39: No. 4. Cantabile"
97,5 Estudios criollos: No. 4. Mal ando (Badly Off)
98,5 Little Pieces: Canción de Cuna (Lullaby)
99,5 Little Pieces: Marcha para soldaditos de cuerda (March for the Toy Soldiers)
100,5 Little Pieces: Movimiento Perpetuo (Perpetual Movemet)
101,5 Little Pieces: Requiebros (Coquetterie)
102,5 Little Pieces: Vals Sentimental (Sentimental Waltz)
103,"5 Morceaux de fantaisie, Op. 3: No. 1 Elégie - Adapted by Mischa Maisky"
104,5 Piezas: No. 1. Vidala
105,5 Piezas: No. 2. Cancion incaica (Incaic Song)
106,5 Piezas: No. 3. Chacarera
107,5 Piezas: No. 4. Cancion de cuna (Birth Song)
108,5 Piezas: No. 5. Zapateado
109,5 Stars (feat. Polimá Westcoast)
110,"5 Tristes: No. 4, Cordoba (Version for Guitar)"
111,"5 Tristes: No. 4, Cordoba (Version for Guitar)"
112,5 de Septiembre
113,5 de Septiembre
114,5 de Septiembre
115,5 de Septiembre
116,5 la Cumparsita
117,56-A
118,56-A
119,6 Bagatelles: Allegretto
120,6 Bagatelles: Allegro
121,6 Bagatelles: Allegro scherzando
122,6 Bagatelles: Andante
123,6 Bagatelles: Andantino piacevole
124,6 Bagatelles: Vivo
125,6 Canciones de Cuna (arr. M.I. Siewers): No. 1. Hallazgo
126,6 Canciones de Cuna (arr. M.I. Siewers): No. 2. Apegado a mi
127,6 Canciones de Cuna (arr. M.I. Siewers): No. 4. Corderito
128,6 Canciones de Cuna (arr. M.I. Siewers): No. 6. Meciendo
129,6 la Casita de Mis Viejos
130,64
131,7 Pakas
132,7 Pakas
133,7 Pieces for Children: Atardecer pampeano (Pampean Sunset)
134,7 Pieces for Children: Atardecer pampeano (Pampean Sunset)
135,7 Pieces for Children: Canción de Cuna (Cradle Song)
136,7 Pieces for Children: Canción de Cuna (Cradle Song)
137,7 Pieces for Children: Danza Campesina (Rustic Dance)
138,7 Pieces for Children: Danza Campesina (Rustic Dance)
139,7 Pieces for Children: Ronda (Round)
140,7 Pieces for Children: Ronda (Round)
141,7 Pieces for Children: Sombrerito (Little Hat)
142,7 Pieces for Children: Sombrerito (Little Hat)
143,7 Pieces for Children: Tamboril (Small Drum)
144,7 Pieces for Children: Tamboril (Small Drum)
145,7 Pieces for Children: Tango
146,7 Pieces for Children: Tango
147,7 los Mareados
148,7. Dicen Que Al Chacho Lo Han Muerto
149,71 Milonga
150,8 De Octubre
151,8:24 P.M.
152,9 / 11 - Remix
153,9 Puntos
154,90 Minutos
155,:·: A.C.A.B.
156,A Bailar Que No Hay Infierno
157,A Barquinazos
158,A Contramano - Remasterizado
159,A Descansar I
160,A Don Augustin Bardi
161,A Don Julio de Caro
162,A Don Nicanor Paredes
163,A Don Nicanor Paredes
164,A Don Osvaldo - Tango
165,A Don Rosa Toledo
166,A Don Rosa Toledo
167,A Dos Hermanos de Ley
168,A Esta Pared Le Hace Falta un Cuadro
169,A Estos Hombres Tristes
170,A Foggy Day in London Town
171,A Garufiar
172,A Groovy Kind Of Love
173,A Hammock for Two
174,A Homero (with Roberto Goyeneche)
175,A Homero (with Roberto Goyeneche)
176,A Julio Jerez
177,A L'aime
178,A La Flauta
179,A La Gran Muñeca - 1ª Versión
180,A La Gran Muñeca - 2ª Versión
181,A Lo Gaucho - Remasterizado
182,A Lo Halloween
183,A Lo Lejos - Remasterizado
184,A Los Mineros De Bolivia
185,A MI NO
186,A MILLI - Remix
187,A Magaldi - Remastered
188,A Magaldi - Remastered
189,A Mi Alma - Barda Versión
190,A Mi Hermano Celso
191,A Mi Madre (Con los Amigos)
192,A Mi No Me Den Consejos - Remasterizado
193,A Mi No Me Engañas
194,A Mi No Me Hablen de Penas - Remasterizado
195,A Mi No Me Hablen de Tango
196,A Mi No Me Interesa - Remastered
197,A Mi Que Me Importa
198,A Mi Tierra Volveré
199,A Mi Vieja
200,A Minor Delight
201,A Monteros
202,A Monteros
203,A Mí No Me Hablen De Tango
204,A Nuestros Hijos
205,A Orlando Goni (feat. Fernando Marzan Quintet)
206,A Oscuras
207,A Oscuras
208,A Oscuras
209,A Pesar de Todo - Remasterizado
210,A Punta de Espada
211,A Pura Ushuta
212,A Puro Fierro
213,A Quien Le Puede Importar
214,A Quien Le Puede Importar - Remasterizado
215,A Rodar la Vida
216,A Rodar la Vida
217,A San Telmo
218,"A Starosta, Le Idiota"
219,A Su Memoria - Remasterizado
220,A Suerte Y Verdad - Remastered
221,A Suerte y Verdad
222,A Toda Hora
223,A Toda Vela
224,A Través de la Ventana
225,A Tu Recuerdo
226,A Tu Recuerdo - Remasterizado
227,"A Veces Yo Te Quiero, Buenos Aires"
228,A Villa Guillermina
229,A fuego lento (arr. M.D. Pujol)
230,A la Guardia Nueva
231,A la Lima y al Limón - Remasterizado
232,A la Luz de la Luna
233,A la Luz de un Candil
234,A la Mar Fui por Naranjas
235,A la Memoria de Frankestein
236,A la Mujer Argentina
237,A la Patria Grande
238,A la gran muneca
239,A la guardia nueva
240,A la niñez nuestra
241,A los Desaparecidos
242,A los Pájaros Que Cantan Sobre las Selvas de Internet
243,A media Luz
244,A media luz
245,A mi no me interesa
246,A mis manos
247,A pan y agua
248,A solas
249,A suerte y verdad
250,A tus Pies
251,A un Semejante
252,A una Paloma
253,A una Rosa
