Source,Target,Label,Fecha
Paulo Londra,Bizarrap,"Paulo Londra: Bzrp Music Sessions, Vol. 23",2022-04-25
Paulo Londra,Duki,Party en el Barrio (feat. Duki),2022-09-14
Paulo Londra,Frijo,Noche Complicada,2018-04-20
Paulo Londra,Frijo,No la Puedo Olvidar,2018-03-16
Paulo Londra,Frijo,En Busca de Verdes,2017-12-16
Bizarrap,Trueno,JUNGLE,2022-02-17
Bizarrap,Trueno,Jugador del Año,2020-10-29
Bizarrap,Trueno,"Trueno: Bzrp Music Sessions, Vol. 16",2019-10-03
Bizarrap,Trueno,"Trueno: Bzrp Freestyle Sessions, Vol. 6",2019-06-30
Bizarrap,Trueno,Mamichula - con Nicki Nicole,2020-07-23
Bizarrap,L-Gante,Pinta,2022-01-19
Bizarrap,L-Gante,"L-Gante: Bzrp Music Sessions, Vol.38",2021-03-10
Bizarrap,Pablo Lescano,Pinta,2022-01-19
Bizarrap,Tiago PZK,"Tiago PZK: Bzrp Music Sessions, Vol. 48",2021-12-29
Bizarrap,Duki,Sin Frenos,2021-12-01
Bizarrap,Duki,Unfollow,2021-10-14
Bizarrap,Duki,YaMeFui,2021-07-28
Bizarrap,Duki,"Like Boss - Remix (feat. Duki, Bizarrap, Akapellah, Polima Westcoast, Moonkey, Zanto, Santoz)",2019-12-13
Bizarrap,Duki,Malbec,2021-04-22
Bizarrap,Nicki Nicole,YaMeFui,2021-07-28
Bizarrap,Nicki Nicole,Verte,2020-12-10
Bizarrap,Nicki Nicole,"Nicki Nicole: Bzrp Music Sessions, Vol. 13",2019-08-14
Bizarrap,Nicki Nicole,Dangerous,2021-10-28
Bizarrap,Nicki Nicole,Plegarias,2019-11-08
Bizarrap,YSY A,"YSY A: Bzrp Music Sessions, Vol. 37",2021-01-27
Bizarrap,YSY A,#Ysya2020 Vol. 6 - Un Flow de Infarto,2020-10-26
Bizarrap,Asan,"Asan: Bzrp Music Sessions, Vol. 35",2020-11-11
Bizarrap,ACRU,Jugador del Año,2020-10-29
Bizarrap,KHEA,"KHEA: Bzrp Music Sessions, Vol. 34",2020-09-30
Bizarrap,Seven Kayne,"Seven Kayne: Bzrp Music Sessions, Vol. 33",2020-09-02
Bizarrap,Cazzu,"Cazzu: Bzrp Music Sessions, Vol. 32",2020-08-05
Bizarrap,ZARAMAY,"Zaramay: Bzrp Music Sessions, Vol. 31",2020-07-01
Bizarrap,Homer El Mero Mero,"HOMER EL MERO MERO: Bzrp Music Sessions, Vol. 30",2020-06-17
Bizarrap,LIT killah,Flexin',2020-06-11
Bizarrap,LIT killah,"Lit Killah: Bzrp Freestyle Sessions, Vol. 3",2018-12-29
Bizarrap,LIT killah,Yankee,2020-10-16
Bizarrap,C.R.O,"C.R.O: Bzrp Music Sessions, Vol. 29",2020-05-20
Bizarrap,Lucho SSJ,"Lucho SSJ: Bzrp Music Sessions, Vol. 26",2020-04-01
Bizarrap,Dani Ribba,"Dani Ribba: Bzrp Music Sessions, Vol. 24",2020-03-04
Bizarrap,Dani Ribba,"Dani Ribba: Bzrp Freestyle Sessions, Vol. 7",2019-11-07
Bizarrap,Pekeño 77,Lil Baby,2020-02-12
Bizarrap,Pekeño 77,"Pekeño 77: Bzrp Music Sessions, Vol. 5",2019-05-27
Bizarrap,LOUTA,"Louta: Bzrp Music Sessions, Vol. 20",2019-12-31
Bizarrap,Frijo,"Like Boss - Remix (feat. Duki, Bizarrap, Akapellah, Polima Westcoast, Moonkey, Zanto, Santoz)",2019-12-13
Bizarrap,Frijo,"Frijo: Bzrp Music Sessions, Vol. 10",2019-07-21
Bizarrap,Frijo,Te Paso a Buscar,2020-02-28
Bizarrap,John C,"John C: Bzrp Music Sessions, Vol. 18",2019-11-20
Bizarrap,CA7RIEL,"CA7RIEL: Bzrp Music Sessions, Vol.14",2019-08-30
Bizarrap,Kiddo Toto,"Kiddo Toto: Bzrp Music Sessions, Vol.11",2019-08-01
Bizarrap,Kiddo Toto,MIERDA,2021-12-02
Bizarrap,Dillom,"Dillom: Bzrp Music Sessions, Vol. 9",2019-07-11
Bizarrap,Kodigo,"Kodigo: Bzrp Music Sessions, Vol.6",2019-06-06
Bizarrap,Kodigo,"Kodigo: Bzrp Freestyle Sessions, Vol. 1",2018-11-17
Bizarrap,Kodigo,Escalera Real - Remix,2017-08-19
Bizarrap,Blunted Vato,"Blunted Vato: Bzrp Music Sessions, Vol. 4",2019-05-10
Bizarrap,Paco Amoroso,"Paco Amoroso: Bzrp Music Sessions, Vol. 3",2019-04-20
Bizarrap,Axel Fiks,"Paco Amoroso: Bzrp Music Sessions, Vol. 3",2019-04-20
Bizarrap,Halpe,Aturdido (Remix),2019-04-16
Bizarrap,Halpe,Bhavi - BZRP Music Sessions #1,2019-02-08
Bizarrap,Ecko,"Ecko: Bzrp Freestyle Sessions, Vol. 5",2019-03-24
Bizarrap,Ecko,"Ecko: Bzrp Music Sessions, Vol. 2",2019-03-24
Bizarrap,XOVOX,Amorfoda (Remix),2018-02-22
Bizarrap,FMK,Perdóname (feat. Renzo Luca & Bizarrap) - Bizarrap Remix,2019-01-24
Trueno,Victor Heredia,TIERRA ZANTA,2022-05-12
Trueno,Duki,PANAMA,2022-05-12
Trueno,Duki,PANAMÁ,2021-06-03
Trueno,Taiu,2.0.1.9,2020-07-23
Trueno,Taiu,Rain II,2020-07-23
Trueno,Taiu,Atrevido,2020-07-23
Trueno,Taiu,Cucumelo,2020-07-23
Trueno,Taiu,G.P.S. - con Aleman,2020-07-23
Trueno,Taiu,Azul y Oro (Freestyle),2020-07-23
Trueno,Taiu,Sangría - con WOS,2020-07-23
Trueno,Taiu,Ñeri,2020-07-23
Trueno,Taiu,Background,2020-07-23
Trueno,Taiu,Mamichula - con Nicki Nicole,2020-07-23
Trueno,Yesan 雪山,2.0.1.9,2020-07-23
Trueno,XOVOX,Rain II,2020-07-23
Trueno,ONIRIA,Atrevido,2020-07-23
Trueno,WOS,Sangría - con WOS,2020-07-23
Trueno,Nicki Nicole,Mamichula - con Nicki Nicole,2020-07-23
Trueno,Nicki Nicole,Dangerous,2021-10-28
Trueno,2 minutos,Ya No Sos Igual,2022-11-02
Trueno,Tiago PZK,Hood - Remix,2022-10-06
Trueno,Tiago PZK,Salimo de Noche,2021-10-21
Trueno,Halpe,Fresko,2019-10-20
Trueno,Dani Ribba,Sin Drama,2022-10-20
Trueno,Neo Pistea,C90 (Remix),2019-12-18
L-Gante,NEGRO DUB,El Último Romántico,2022-10-20
L-Gante,NEGRO DUB,Salimos de Noche,2022-10-13
L-Gante,John C,M3,2022-10-13
L-Gante,John C,Vivimos Como Capos,2022-08-24
L-Gante,John C,Pa Tra Rkt - Remix,2022-03-24
L-Gante,John C,Remake,2021-06-11
L-Gante,Kaleb Di Masi,Castigar,2022-09-01
L-Gante,Kaleb Di Masi,Pa Tra Rkt - Remix,2022-03-24
L-Gante,Kaleb Di Masi,Pompa Pa Tra - Remix,2020-12-28
L-Gante,Omar Varela,Castigar,2022-09-01
L-Gante,Omar Varela,Tinty Nasty,2021-03-09
L-Gante,Papichamp,Vivimos Como Capos,2022-08-24
L-Gante,Papichamp,Pa Tra Rkt - Remix,2022-03-24
L-Gante,Papichamp,Remake,2021-06-11
L-Gante,Papichamp,Combi Nueva,2021-04-20
L-Gante,Homer El Mero Mero,Vivimos Como Capos,2022-08-24
L-Gante,Homer El Mero Mero,Cementerio,2022-04-12
L-Gante,Homer El Mero Mero,Pa Tra Rkt - Remix,2022-03-24
L-Gante,Homer El Mero Mero,LOGI,2021-07-16
L-Gante,Homer El Mero Mero,Titubeo - Remix,2021-02-11
L-Gante,Perro Primo,"Music Trip #1 – BLANCO, NEGRO",2022-05-13
L-Gante,Perro Primo,Los P***s De Tu Barrio,2022-04-23
L-Gante,Perro Primo,LOGI,2021-07-16
L-Gante,Perro Primo,Remake,2021-06-11
L-Gante,Perro Primo,PPT (Patita Pa Tra),2021-03-05
L-Gante,Perro Primo,#XDTRA,2021-02-19
L-Gante,Perro Primo,El Barrio,2020-12-20
L-Gante,Perro Primo,R.a.M,2020-09-05
L-Gante,Perro Primo,Tik Tok - Remix,2020-04-25
L-Gante,Perro Primo,Pitbull Terrier Biry,2020-04-10
L-Gante,Perro Primo,Rich,2019-12-20
L-Gante,Perro Primo,Whisky Cola,2019-12-13
L-Gante,Perro Primo,Mary Remix,2019-05-24
L-Gante,Perro Primo,Choke Choke,2019-05-17
L-Gante,Perro Primo,SOFIA,2021-05-14
L-Gante,LIT killah,KU',2022-04-07
L-Gante,Ecko,Pa Tra Rkt - Remix,2022-03-24
L-Gante,Ecko,Combi Nueva,2021-04-20
L-Gante,Rodrigo,La Mano de Dios,2021-11-26
L-Gante,TINI,Bar,2021-11-11
L-Gante,Frijo,Turrosmánticos,2021-06-24
L-Gante,Frijo,Mi Banda Encendida,2021-02-20
L-Gante,Nestor En Bloque,Remake,2021-06-11
L-Gante,Fidel Nadal,International Love 420,2021-05-21
L-Gante,Damas Gratis,Pistola Remix,2021-04-20
L-Gante,Damas Gratis,C PIKO LA CLANDESTINA,2021-08-20
L-Gante,Damas Gratis,Perrito Malvado,2021-04-20
L-Gante,Blunted Vato,Combi Nueva,2021-04-20
L-Gante,Blunted Vato,Pandillero,2021-01-01
L-Gante,Dillom,Tinty Nasty,2021-03-09
L-Gante,Dillom,HEGEMONICA,2021-12-01
L-Gante,Papu DJ,L-Gante Rkt - Remix,2020-12-29
L-Gante,Papu DJ,L Gante Rkt Remix,2020-12-28
L-Gante,Papu DJ,L-Gante: RKT SESSIONS #1,2020-07-07
L-Gante,Bruno LC,Pompa Pa Tra - Remix,2020-12-28
L-Gante,Bruno LC,Tumbando - Remix,2021-01-22
L-Gante,Bruno LC,La Cachorrita,2020-06-25
L-Gante,Bruno LC,Cuando Llega La Promo,2020-02-07
L-Gante,Zato DJ,Mary Remix,2019-05-24
L-Gante,Seba TC,Choke Choke,2019-05-17
L-Gante,Seba TC,Uno Mas Uno - Remix,2018-09-14
L-Gante,Seba TC,Cae la Noche,2021-06-11
Pablo Lescano,Fidel Nadal,Puerta de Oro,2004-05-20
Pablo Lescano,Andrés Calamaro,Tres Marías (feat. Pablo Lescano & Vicentico) - Pablo Lescano Mix,2010-06-01
Pablo Lescano,Kumbia Queers,Feriado Nacional,2010-07-14
Pablo Lescano,Kumbia Queers,Linda Argentina,2010-07-14
Pablo Lescano,Kumbia Queers,Te Quiero un Chingo,2010-07-14
Pablo Lescano,Dancing Mood,Toma 5,2011-10-01
Pablo Lescano,El Remolón,Cumbia Bichera (Feat. Pablo Lescano),2012-09-24
Tiago PZK,Asan,Noches De Soledad,2022-07-21
Tiago PZK,KHEA,Noches De Soledad,2022-07-21
Tiago PZK,LIT killah,Entre Nosotros,2022-07-21
Tiago PZK,LIT killah,Dame Una Nite,2021-10-20
Tiago PZK,LIT killah,Entre Nosotros (Remix) [con Nicki Nicole],2022-01-05
Tiago PZK,LIT killah,YO SE QUE TU (feat. Rusherking),2021-05-12
Tiago PZK,LIT killah,"Cerca de ti (feat. Rusherking, Bhavi, Tobi) - Remix",2020-10-30
Tiago PZK,TINI,El Último Beso,2022-09-15
Tiago PZK,Rusherking,NOW,2022-02-03
Tiago PZK,Rusherking,YO SE QUE TU (feat. Rusherking),2021-05-12
Tiago PZK,Rusherking,Además de Mí,2020-12-01
Tiago PZK,Rusherking,"Cerca de ti (feat. Rusherking, Bhavi, Tobi) - Remix",2020-10-30
Tiago PZK,Maria Becerra,Entre Nosotros (Remix) [con Nicki Nicole],2022-01-05
Tiago PZK,Maria Becerra,Cazame,2021-06-10
Tiago PZK,Nicki Nicole,Entre Nosotros (Remix) [con Nicki Nicole],2022-01-05
Tiago PZK,Nicki Nicole,Dame,2021-10-28
Tiago PZK,Dani Ribba,Cuando Me Ves,2021-11-30
Tiago PZK,FMK,Prende la Cámara RMX,2021-11-08
Tiago PZK,FMK,Prende la Cámara,2021-07-01
Tiago PZK,FMK,YO SE QUE TU (feat. Rusherking),2021-05-12
Tiago PZK,Emilia,rápido lento,2021-09-30
Tiago PZK,Seven Kayne,"Cerca de ti (feat. Rusherking, Bhavi, Tobi) - Remix",2020-10-30
Tiago PZK,Emkier,Game,2020-04-17
Tiago PZK,Emkier,Papichulo,2020-02-07
Tiago PZK,Emkier,En la Oscuridad,2020-01-05
Tiago PZK,Emkier,Nena Percocet,2019-06-08
Tiago PZK,Emkier,Solo Los Dos,2019-05-17
Tiago PZK,Emkier,Gira en el Norte,2019-05-17
Tiago PZK,Emkier,3 Am,2019-05-17
Tiago PZK,Emkier,Mañana,2019-05-17
Tiago PZK,Emkier,Nena Mala,2019-05-17
Tiago PZK,Emkier,Md,2019-05-17
Tiago PZK,Duki,"No Me Conocen (Remix) [con DUKI, Rei & Tiago PZK]",2021-06-16
Tiago PZK,Homer El Mero Mero,Tu Luna,2022-06-16
Duki,Emilia,Esto Recién Empieza,2022-07-20
Duki,Emilia,como si no importara,2021-07-13
Duki,Asan,Luna - Vivo Calafate,2021-06-10
Duki,Asan,Luna,2021-04-22
Duki,Asan,Pastillas,2020-06-24
Duki,Asan,Sin Mirar,2020-06-24
Duki,Asan,Goteo - Remix,2020-01-23
Duki,Lara91k,Sol - Vivo Calafate,2021-06-10
Duki,Lara91k,Sol,2021-04-22
Duki,Lara91k,Eres Para Mí,2022-01-13
Duki,YSY A,Pintao,2021-04-22
Duki,YSY A,A Punta de Espada,2019-11-01
Duki,YSY A,Hijo de la Noche,2018-04-20
Duki,YSY A,Quavo #Mododiablo,2018-03-16
Duki,YSY A,Vuelta a la Luna,2018-11-11
Duki,YSY A,No Se,2018-11-11
Duki,YSY A,Calor - Remix,2020-03-13
Duki,YSY A,Vuelta a la Luna - Remix,2019-04-18
Duki,YSY A,Guapo,2018-09-25
Duki,YSY A,Guapo,2017-06-11
Duki,YSY A,"Tumbando el Club (feat. C.R.O, Obiewanshot, YSY A, Cazzu, Khea, Lucho SSJ, Coqeéin Montana, Marcianos Crew & Duki) - Remix",2017-06-11
Duki,Rei,Pintao,2021-04-22
Duki,Rei,"No Me Conocen (Remix) [con DUKI, Rei & Tiago PZK]",2021-06-16
Duki,Rei,Pininfarina - Remix,2020-08-29
Duki,Lucho SSJ,Cuanto,2021-04-22
Duki,Lucho SSJ,La Jefatura,2019-11-01
Duki,Lucho SSJ,Tamo Real,2021-03-29
Duki,Lucho SSJ,Perdoname Si Llego Tarde,2020-04-13
Duki,Lucho SSJ,Jimmy Fallon - Remix,2020-06-12
Duki,Lucho SSJ,Blood - Remix,2019-11-22
Duki,Lucho SSJ,"Tumbando el Club (feat. C.R.O, Obiewanshot, YSY A, Cazzu, Khea, Lucho SSJ, Coqeéin Montana, Marcianos Crew & Duki) - Remix",2017-06-11
Duki,Obie Wanshot,Fifty Fifty,2021-04-22
Duki,Obie Wanshot,H.I.E.L.O.,2020-03-05
Duki,Obie Wanshot,ANGELITO (feat. Duki),2020-12-25
Duki,Obie Wanshot,"Tumbando el Club (feat. C.R.O, Obiewanshot, YSY A, Cazzu, Khea, Lucho SSJ, Coqeéin Montana, Marcianos Crew & Duki) - Remix",2017-06-11
Duki,Neo Pistea,Fifty Fifty,2021-04-22
Duki,Neo Pistea,Pininfarina - Remix,2020-08-29
Duki,Neo Pistea,5 Stars (feat. Polimá Westcoast),2019-11-20
Duki,Neo Pistea,"Bebo Champagne y Lo Tiro (feat. Papi Trujillo, Cuban Bling & Pochi) - Remix",2019-06-14
Duki,Neo Pistea,Makina de Armado,2019-02-12
Duki,Neo Pistea,Quavo #Mododiablo,2018-03-16
Duki,Neo Pistea,TRAPPIST-1,2021-04-14
Duki,Neo Pistea,"Tumbando el Club (feat. C.R.O, Obiewanshot, YSY A, Cazzu, Khea, Lucho SSJ, Coqeéin Montana, Marcianos Crew & Duki) - Remix",2019-03-27
Duki,Neo Pistea,Guapo,2017-06-11
Duki,Neo Pistea,"Tumbando el Club (feat. C.R.O, Obiewanshot, YSY A, Cazzu, Khea, Lucho SSJ, Coqeéin Montana, Marcianos Crew & Duki) - Remix",2017-06-11
Duki,KHEA,Muriendome,2021-04-22
Duki,KHEA,It's a Vibe,2019-11-01
Duki,KHEA,Hitboy,2019-11-01
Duki,KHEA,Sexy (feat. KHEA & Duki),2021-07-02
Duki,KHEA,WACHA,2021-04-01
Duki,KHEA,Makina de Armado,2019-02-12
Duki,KHEA,Loca - Remix,2018-03-16
Duki,KHEA,She Don't Give a Fo,2018-03-12
Duki,KHEA,Gelato 44 (feat. Duki & Saga White Black),2020-05-15
Duki,KHEA,Ánimo (feat. Duki & Midel),2019-11-07
Duki,KHEA,"Tengo 30 (feat. Duki, Cazzu, Neo Pistea & Tali Goya)",2019-09-27
Duki,KHEA,Loca - Axel Caram Remix,2017-12-26
Duki,KHEA,"Tumbando el Club (feat. C.R.O, Obiewanshot, YSY A, Cazzu, Khea, Lucho SSJ, Coqeéin Montana, Marcianos Crew & Duki) - Remix",2017-06-11
Duki,Pekeño 77,Ella Es Mi Bitch,2021-04-22
Duki,Pekeño 77,Otra Vez,2021-07-15
Duki,CA7RIEL,Muero de Fiesta Este Finde,2021-04-22
Duki,NEGRO DUB,Vida Eterna,2020-06-24
Duki,NEGRO DUB,Perrea,2020-01-02
Duki,CLUB HATS,Deja Vu,2020-06-24
Duki,CLUB HATS,Por Mi Nombre,2020-08-21
Duki,CLUB HATS,Nota Espacial,2020-03-26
Duki,Marcianos Crew,La Jefatura,2019-11-01
Duki,Marcianos Crew,Perdiendo el Tiempo,2020-10-23
Duki,Marcianos Crew,Tussi,2019-04-22
Duki,Marcianos Crew,Colombiana - Remix,2019-01-18
Duki,Marcianos Crew,"Tumbando el Club (feat. C.R.O, Obiewanshot, YSY A, Cazzu, Khea, Lucho SSJ, Coqeéin Montana, Marcianos Crew & Duki) - Remix",2017-06-11
Duki,Dani Ribba,Lo Olvidaste,2022-04-20
Duki,FMK,Tu Nombre,2022-03-10
Duki,FMK,INTERESTELAR,2022-01-27
Duki,FMK,INTERESTELAR,2017-06-11
Duki,C.R.O,INTERESTELAR,2022-01-27
Duki,C.R.O,Lambo - Remix,2021-09-11
Duki,C.R.O,Goteo - Remix,2020-01-23
Duki,C.R.O,7 Pakas,2019-03-15
Duki,C.R.O,Vampiros,2018-09-14
Duki,C.R.O,Alas,2018-06-12
Duki,C.R.O,Hijo de la Noche,2018-04-20
Duki,C.R.O,Basura,2020-07-01
Duki,C.R.O,Ella Es una G,2018-11-16
Duki,C.R.O,INTERESTELAR,2017-06-11
Duki,C.R.O,Guapo,2017-06-11
Duki,C.R.O,"Tumbando el Club (feat. C.R.O, Obiewanshot, YSY A, Cazzu, Khea, Lucho SSJ, Coqeéin Montana, Marcianos Crew & Duki) - Remix",2017-06-11
Duki,Yesan 雪山,Eres Para Mí,2022-01-13
Duki,Yesan 雪山,Nota Espacial,2020-03-26
Duki,Rusherking,Bailando Te Conocí,2021-07-08
Duki,MYA,2:50 Remix,2021-06-21
Duki,TINI,2:50 Remix,2021-06-21
Duki,Seven Kayne,HABLAMOS POCO HACEMOS MUCHO,2021-01-14
Duki,Seven Kayne,Hablamos Poco Hacemos Mucho,2021-04-29
Duki,Homer El Mero Mero,Perdiendo el Tiempo,2020-10-23
Duki,Homer El Mero Mero,Basado en Hechos Reales,2019-04-29
Duki,ONIRIA,Run Run Stop (feat. Oniria),2020-09-11
Duki,Frijo,Perrea,2020-01-02
Duki,Frijo,24K,2019-09-06
Duki,Frijo,Paranoia,2019-08-26
Duki,Vicentico,Entre Cuatro Paredes,2019-06-14
Duki,La Bomba de Tiempo,Entre Cuatro Paredes,2019-06-14
Duki,Chulu,7 Pakas,2019-03-15
Duki,Dante Spinetta,Verano Hater,2019-02-15
Duki,Cazzu,Loca - Remix,2018-03-16
Duki,Cazzu,La Clase,2019-06-03
Duki,Cazzu,"Tumbando el Club (feat. C.R.O, Obiewanshot, YSY A, Cazzu, Khea, Lucho SSJ, Coqeéin Montana, Marcianos Crew & Duki) - Remix",2017-06-11
Duki,Nicki Nicole,Shorty,2019-11-08
Duki,LIT killah,Mala Mía,2021-08-19
