Id,Label,id_artista,popularidad,generos_musicales,genero,Grado,Intermediatez,Cercania,Grado,Intermediatez,Cercania
Paulo Londra,Paulo Londra,spotify:artist:3vQ0GE3mI0dAaxIMYe5g7z,78,"['Trap', 'Pop', 'HipHop', 'R&B', 'Electronica', 'Rock', 'Punk', 'Rap']",male,5,0.0,0.1978601997146933,5,0.0,0.1978601997146933
Bizarrap,Bizarrap,spotify:artist:716NhGYqD1jl2wI1Qkgq36,84,"['Trap', 'Pop', 'HipHop', 'Electronica', 'Rap']",male,59,0.0152520073200079,0.2250892567348263,59,0.01525200732000792,0.22508925673482635
Trueno,Trueno,spotify:artist:2x7PC78TmgqpEIjaGAZ0Oz,74,"['Trap', 'HipHop', 'Rap']",male,30,0.0141917622003311,0.2431626928471248,30,0.014191762200331165,0.24316269284712483
L-Gante,L-Gante,spotify:artist:4YYxffPVDFe9XoqqbRW6Bq,70,['Cumbia'],male,64,0.0119763641945775,0.2091690544412607,64,0.011976364194577581,0.20916905444126074
Pablo Lescano,Pablo Lescano,spotify:artist:6pztqmUqWADMZQKrrmGWGx,44,['Cumbia'],male,8,0.0075939923679917,0.2305135449559581,8,0.007593992367991751,0.2305135449559581
Tiago PZK,Tiago PZK,spotify:artist:5Y3MV9DZ0d87NnVm56qSY1,79,"['Trap', 'HipHop', 'Rap']",male,37,0.0021586184359168,0.2098335854765506,37,0.002158618435916873,0.20983358547655068
Duki,Duki,spotify:artist:1bAftSH8umNcGZ0uyV7LMg,83,"['Trap', 'Pop', 'HipHop', 'R&B', 'Rock', 'Rap']",male,120,0.0229428949808762,0.241848299912816,120,0.022942894980876264,0.24184829991281603
Nicki Nicole,Nicki Nicole,spotify:artist:2UZIAOlrnyZmyzt1nuXr9y,76,"['Trap', 'Pop', 'HipHop', 'R&B', 'Rap']",female,13,0.0002860857960417,0.2093268940537277,13,0.00028608579604174483,0.20932689405372773
YSY A,YSY A,spotify:artist:2qWK8K2Jfh67UqtwY8tCW6,72,"['Trap', 'HipHop', 'Rap']",male,96,0.0263706453237599,0.2393442622950819,96,0.026370645323759937,0.23934426229508196
Asan,Asan,spotify:artist:6Nl4VXcX86fBMO4YE6oYfN,56,['Trap'],male,16,0.0002829853443804,0.2104704097116843,16,0.0002829853443804035,0.21047040971168438
ACRU,ACRU,spotify:artist:0bYQe0JDIjxkSHQoXlfngl,50,"['HipHop', 'Rap']",male,6,0.0001848128997429,0.2011894400928343,6,0.0001848128997429081,0.20118944009283435
KHEA,KHEA,spotify:artist:4m6ubhNsdwF4psNf3R8kwR,74,"['Trap', 'HipHop']",male,63,0.0039686726110518,0.2140101836136398,63,0.003968672611051861,0.21401018361363988
Seven Kayne,Seven Kayne,spotify:artist:4C29ETLBPmYKYwtJUepbJz,62,"['Trap', 'HipHop']",male,18,0.0029221392059796,0.1992529808935497,18,0.0029221392059796602,0.19925298089354979
Cazzu,Cazzu,spotify:artist:6w3SkAHYPsQ1bxV7VDlG5y,73,"['Trap', 'HipHop', 'R&B', 'Rap']",female,40,0.008666377540961,0.2300547354453475,40,0.008666377540961083,0.2300547354453475
