Id,Label,id_artista,popularidad,generos_musicales,genero,betweenness
Paulo Londra,Paulo Londra,spotify:artist:3vQ0GE3mI0dAaxIMYe5g7z,78,"['Trap', 'Pop', 'HipHop', 'R&B', 'Electronica', 'Rock', 'Punk', 'Rap']",male,4
Bizarrap,Bizarrap,spotify:artist:716NhGYqD1jl2wI1Qkgq36,84,"['Trap', 'Pop', 'HipHop', 'Electronica', 'Rap']",male,4
Trueno,Trueno,spotify:artist:2x7PC78TmgqpEIjaGAZ0Oz,74,"['Trap', 'HipHop', 'Rap']",male,4
L-Gante,L-Gante,spotify:artist:4YYxffPVDFe9XoqqbRW6Bq,70,['Cumbia'],male,4
Pablo Lescano,Pablo Lescano,spotify:artist:6pztqmUqWADMZQKrrmGWGx,44,['Cumbia'],male,7
Tiago PZK,Tiago PZK,spotify:artist:5Y3MV9DZ0d87NnVm56qSY1,79,"['Trap', 'HipHop', 'Rap']",male,4
Duki,Duki,spotify:artist:1bAftSH8umNcGZ0uyV7LMg,83,"['Trap', 'Pop', 'HipHop', 'R&B', 'Rock', 'Rap']",male,4
Nicki Nicole,Nicki Nicole,spotify:artist:2UZIAOlrnyZmyzt1nuXr9y,76,"['Trap', 'Pop', 'HipHop', 'R&B', 'Rap']",female,4
YSY A,YSY A,spotify:artist:2qWK8K2Jfh67UqtwY8tCW6,72,"['Trap', 'HipHop', 'Rap']",male,4
Asan,Asan,spotify:artist:6Nl4VXcX86fBMO4YE6oYfN,56,['Trap'],male,4
ACRU,ACRU,spotify:artist:0bYQe0JDIjxkSHQoXlfngl,50,"['HipHop', 'Rap']",male,4
KHEA,KHEA,spotify:artist:4m6ubhNsdwF4psNf3R8kwR,74,"['Trap', 'HipHop']",male,4
Seven Kayne,Seven Kayne,spotify:artist:4C29ETLBPmYKYwtJUepbJz,62,"['Trap', 'HipHop']",male,4
Cazzu,Cazzu,spotify:artist:6w3SkAHYPsQ1bxV7VDlG5y,73,"['Trap', 'HipHop', 'R&B', 'Rap']",female,4
ZARAMAY,ZARAMAY,spotify:artist:3wsYquQ9CiMlYG54BUR2ff,55,['HipHop'],male,4
Homer El Mero Mero,Homer El Mero Mero,spotify:artist:0Xo4VFS3v07L0GwIVkZLfg,60,"['HipHop', 'Rap']",male,4
LIT killah,LIT killah,spotify:artist:1vqR17Iv8VFdzure1TAXEq,73,"['Trap', 'HipHop', 'R&B', 'Rap']",male,4
C.R.O,C.R.O,spotify:artist:4puAp107dCehraE47QXVQX,70,['Trap'],male,4
Lucho SSJ,Lucho SSJ,spotify:artist:1OBizG9nrnHJkrL9NjnWYN,57,['Trap'],male,4
Dani Ribba,Dani Ribba,spotify:artist:6cC67GpmPCjQjOYLpmOGhN,61,"['Trap', 'HipHop']",male,4
Pekeño 77,Pekeño 77,spotify:artist:5eIRbSES1yeGSBuqZ4xvuD,50,"['Trap', 'Rap']",male,4
LOUTA,LOUTA,spotify:artist:5l4GdLELvdnXZVT5g947i3,56,"['Pop', 'Electronica', 'Rock', 'Alternative']",male,4
Frijo,Frijo,spotify:artist:4D2d63igYEdzhzFnxrSow7,55,"['Trap', 'HipHop']",male,4
John C,John C,spotify:artist:66lf5bQo2BIEue1pxfgxQS,56,"['Trap', 'HipHop', 'Cumbia', 'Rap']",male,4
CA7RIEL,CA7RIEL,spotify:artist:348pk4o3EhKmsSahzuClSf,55,"['Trap', 'Electronica', 'Alternative']",male,4
Kiddo Toto,Kiddo Toto,spotify:artist:1Mj0XQhXbzIXfoWTN391N6,44,['Trap'],male,4
Dillom,Dillom,spotify:artist:4cJD9t5QBFTUQcd3xfbOb2,63,"['Trap', 'Pop', 'HipHop']",male,4
Kodigo,Kodigo,spotify:artist:3hwgckfLtTHdnkf694c7HS,50,"['Trap', 'HipHop', 'Rap']",male,4
Blunted Vato,Blunted Vato,spotify:artist:15RLdM61VHtknTIYIuNviR,54,"['Trap', 'HipHop', 'Cumbia']",male,4
Paco Amoroso,Paco Amoroso,spotify:artist:3E7NGbzUGlOjgYY8nvtijR,54,['Alternative'],male,4
Axel Fiks,Axel Fiks,spotify:artist:6GEaxHZNiogI175zUr4KvH,51,['Alternative'],male,4
Halpe,Halpe,spotify:artist:5fUaIEaRhzIad7C49MqTsy,51,['Trap'],NA,4
Ecko,Ecko,spotify:artist:2Jb9jVnCpWkXtoGznFJ6bF,63,"['Trap', 'HipHop']",male,4
XOVOX,XOVOX,spotify:artist:2mzbm2cwDrAgc9zxcXvfC1,46,"['Trap', 'HipHop', 'Rap']",male,4
Victor Heredia,Victor Heredia,spotify:artist:07S2B15CcvWG4jyfMhqx8X,49,"['Folklore', 'Rock']",male,0
Taiu,Taiu,spotify:artist:5szJHKg5xeUlQ9pTqzdpic,60,"['Trap', 'HipHop', 'Rap']",male,4
Yesan 雪山,Yesan 雪山,spotify:artist:6pJPxDgaE0H343SrASnY9J,53,"['Trap', 'HipHop', 'Rap']",male,4
ONIRIA,ONIRIA,spotify:artist:6mkRgafSHF30Dr2wEch4YU,44,['Trap'],NA,4
WOS,WOS,spotify:artist:5YCc6xS5Gpj3EkaYGdjyNK,71,"['Trap', 'HipHop', 'R&B', 'Rock', 'Rap', 'Alternative']",male,4
2 minutos,2 minutos,spotify:artist:5sASmkskUJsvYDSYKRkkYd,49,"['Rock', 'Punk', 'Alternative']",NA,4
NEGRO DUB,NEGRO DUB,spotify:artist:65VS702SIPGgTpWgTQupMA,51,"['HipHop', 'Rap']",male,4
Kaleb Di Masi,Kaleb Di Masi,spotify:artist:5U5wYVqrbD6J8SK4kNhau4,67,"['Trap', 'Cumbia']",male,4
Omar Varela,Omar Varela,spotify:artist:5xIOUIBQhGFX7HIj8lhdyU,70,['Trap'],NA,4
Papichamp,Papichamp,spotify:artist:1qoJTYkRvsRJMTOxnUnpNW,55,"['Trap', 'Cumbia']",male,4
Perro Primo,Perro Primo,spotify:artist:4MUsDaGK0nPDJvYSoaoFUA,57,['Cumbia'],male,4
Rodrigo,Rodrigo,spotify:artist:235Vf4hkmwvxjVEMuCbRxm,59,"['Cumbia', 'Rock']",male,3
TINI,TINI,spotify:artist:7vXDAI8JwjW531ouMGbfcp,77,['Pop'],female,4
Nestor En Bloque,Nestor En Bloque,spotify:artist:2to8xMgnoxHCXPF7eWJPvg,56,['Cumbia'],male,7
Fidel Nadal,Fidel Nadal,spotify:artist:7l2wptrNdI4wEHxTlWa6SS,48,"['Rock', 'Punk', 'Reggae', 'Alternative']",male,7
Damas Gratis,Damas Gratis,spotify:artist:3YeBTR1Q1rUxKguz4jP6UV,63,['Cumbia'],NA,4
Papu DJ,Papu DJ,spotify:artist:1Z7q2glJYLsPpPoPIgBjdE,52,['Cumbia'],NA,4
Bruno LC,Bruno LC,spotify:artist:5XUp43SjeL84EDkWoCG3qR,53,['Cumbia'],male,4
Zato DJ,Zato DJ,spotify:artist:75VwO8amb6eCuE9gYagNZZ,43,['Cumbia'],male,4
Seba TC,Seba TC,spotify:artist:6W8GoLLEJXK5EvU1TcaYI2,22,['Cumbia'],NA,4
Rusherking,Rusherking,spotify:artist:3Apb2lGmGJaBmr0TTBJvIZ,70,['Trap'],male,4
Maria Becerra,Maria Becerra,spotify:artist:1DxLCyH42yaHKGK3cl5bvG,81,"['Trap', 'Pop']",female,4
FMK,FMK,spotify:artist:0dUyjgCyjfj5eMx6bX2TWf,67,['Trap'],male,4
Emilia,Emilia,spotify:artist:0AqlFI0tz2DsEoJlKSIiT9,69,['Pop'],female,4
Emkier,Emkier,spotify:artist:5yEDqRhb3ABb25Of0IYpcn,38,"['Trap', 'HipHop', 'Rap']",male,4
Lara91k,Lara91k,spotify:artist:2zPvDg6LI6NHPQVQIESjfW,49,"['R&B', 'Alternative']",female,4
Rei,Rei,spotify:artist:4IG1SDlwgNKzqTmjBrvY3K,71,['Trap'],male,4
Obie Wanshot,Obie Wanshot,spotify:artist:48vP5SxlTO6yOI7SLKIOQV,54,['Trap'],male,4
Neo Pistea,Neo Pistea,spotify:artist:01m2XZ7m7rAz6KY3scTdaV,62,"['Trap', 'HipHop']",male,4
CLUB HATS,CLUB HATS,spotify:artist:3Nk2mAv4k4ZOzrP5tpXL2G,61,"['Trap', 'HipHop', 'Rap']",male,4
Marcianos Crew,Marcianos Crew,spotify:artist:0Hkx0YcHHxDRRbH9WsSW0I,52,"['Trap', 'HipHop', 'Rap']",male,4
MYA,MYA,spotify:artist:5Rj6rNR8zIlUUDCs1OyPmW,63,['Pop'],NA,4
Vicentico,Vicentico,spotify:artist:25THA9HUHoxpCT4LBp7UsZ,63,"['Pop', 'Rock', 'Reggae', 'Alternative']",male,3
La Bomba de Tiempo,La Bomba de Tiempo,spotify:artist:2kzyHS3WRPwclRl5gsydu8,37,['Reggae'],NA,3
Chulu,Chulu,spotify:artist:1VAc90Avnm4J5j2cYu5RVB,47,['Rap'],NA,4
Dante Spinetta,Dante Spinetta,spotify:artist:4Dcz7srpGyeBFxFpQTxlvC,40,"['Jazz', 'HipHop', 'Rock', 'Rap', 'Alternative']",male,4
Sixto Yegros,Sixto Yegros,spotify:artist:2mddrRrlMf3ykcKyh1jlSs,36,"['Trap', 'HipHop', 'Rap']",male,4
Panther,Panther,spotify:artist:6bigFvZX5HdrC98srqxRLQ,53,['Trap'],male,4
Amelita Baltar,Amelita Baltar,spotify:artist:5Z2Vs6p7u0a44wcO68iiQk,28,['Tango'],female,1
KAKTOV,KAKTOV,spotify:artist:4G8DaRnN7oPFkEJXwX2i94,49,['Trap'],male,4
Veeyam,Veeyam,spotify:artist:0mUKZR7k8cOSewS6faryVf,43,['Rap'],male,4
Axel Caram,Axel Caram,spotify:artist:2PkjYgKhHI4qofYoxWB9ZP,50,"['Pop', 'Cumbia']",male,4
Maia Reficco,Maia Reficco,spotify:artist:3bSOF3p2LElLzyfeazQSOM,41,"['Pop', 'R&B']",female,4
Chita,Chita,spotify:artist:7ejyCwT1b7MIwHVCVO8HjX,43,"['R&B', 'Alternative']",female,4
La Duraca,La Duraca,spotify:artist:7x7vfF89MqM94K8wvK3Omq,41,"['Trap', 'HipHop', 'R&B', 'Rap']",female,4
Mechi Pieretti,Mechi Pieretti,spotify:artist:5rnUlLid4WEcDmAz6McM33,34,['Pop'],NA,4
Lali,Lali,spotify:artist:22P1OY4TRFRwhP0q29loQ8,64,"['Pop', 'HipHop']",female,0
Bardero$,Bardero$,spotify:artist:5Q2fyL2TcdUY9IqKTkGk5G,59,['HipHop'],NA,4
Franky Style,Franky Style,spotify:artist:1cLDC1abeY1jIY5AX2Rtbx,58,"['Trap', 'Cumbia']",male,4
XLAB,XLAB,spotify:artist:1oagCrMTYkUXI9pmudj2w6,46,['Trap'],male,4
Lil Troca,Lil Troca,spotify:artist:51Q6RZOMEMuZHySsfWLTtk,47,['Rap'],male,4
T&K,T&K,spotify:artist:62zZb3lpCFBqLDjMccQgND,48,"['HipHop', 'Rap']",male,4
Los Palmeras,Los Palmeras,spotify:artist:2Htm0q72SjGSmsy8EOIhRG,63,['Cumbia'],NA,0
Selecta,Selecta,spotify:artist:1m9WPOccw8sizsVYUhSVjZ,50,['Trap'],male,4
Mike Southside,Mike Southside,spotify:artist:4jIPjVHNkAKmqfWjfwg960,34,"['Trap', 'HipHop', 'Rap']",male,4
Jairo Vera,Jairo Vera,spotify:artist:5CAruGjgds3QlF5ICtEnnc,65,"['Trap', 'Reggae']",male,4
Marilina Bertoldi,Marilina Bertoldi,spotify:artist:1nm9PdmvzPXJmIlMOk5XLy,45,"['Rock', 'Alternative']",female,4
Zoe Gotusso,Zoe Gotusso,spotify:artist:3XBw8ImFEo86mEB2dYh0vS,53,"['Pop', 'Rock', 'Alternative']",female,0
Miranda!,Miranda!,spotify:artist:2eEmsgWmUFMbtU7agJpnjY,67,"['Pop', 'Electronica', 'Rock', 'Alternative']",NA,4
Malena Villa,Malena Villa,spotify:artist:0RlibgJa8rtPvVn415J6WN,40,"['Pop', 'Alternative']",female,4
Ilan Amores,Ilan Amores,spotify:artist:0gQKzAKJSt3Ko7SKEr9y9z,31,"['Cumbia', 'Rap']",male,4
Gandu,Gandu,spotify:artist:6bx6A2ZgZA9erQg6hH453L,9,['Trap'],male,4
Cieloazul,Cieloazul,spotify:artist:2mFYQhy4Pcp2yvzuZQN9Dw,32,['Trap'],male,4
Wirchi,Wirchi,spotify:artist:7xfNmsjjymUmtxwxATAIT1,12,['Trap'],male,4
Muerejoven,Muerejoven,spotify:artist:2yGXs7AlyNVetlMvwsFXGk,49,['Trap'],male,4
Saramalacara,Saramalacara,spotify:artist:3QchzUOTSCKWmaRGEEiuir,54,"['Trap', 'Pop']",female,4
K4,K4,spotify:artist:0yjlGMMFuIci8JCTAOb2AU,37,['Trap'],NA,4
