,Source,Target,Label,Fecha
0,Paulo Londra,Bizarrap,"Paulo Londra: Bzrp Music Sessions, Vol. 23",2022-04-25
1,Paulo Londra,Duki,Party en el Barrio (feat. Duki),2022-09-14
2,Paulo Londra,Frijo,Noche Complicada,2018-04-20
3,Paulo Londra,Frijo,No la Puedo Olvidar,2018-03-16
4,Paulo Londra,Frijo,En Busca de Verdes,2017-12-16
5,Bizarrap,Trueno,JUNGLE,2022-02-17
6,Bizarrap,Trueno,Jugador del Año,2020-10-29
7,Bizarrap,Trueno,"Trueno: Bzrp Music Sessions, Vol. 16",2019-10-03
8,Bizarrap,Trueno,"Trueno: Bzrp Freestyle Sessions, Vol. 6",2019-06-30
9,Bizarrap,Trueno,Mamichula - con Nicki Nicole,2020-07-23
10,Bizarrap,L-Gante,Pinta,2022-01-19
11,Bizarrap,L-Gante,"L-Gante: Bzrp Music Sessions, Vol.38",2021-03-10
12,Bizarrap,Pablo Lescano,Pinta,2022-01-19
13,Bizarrap,Tiago PZK,"Tiago PZK: Bzrp Music Sessions, Vol. 48",2021-12-29
14,Bizarrap,Duki,Sin Frenos,2021-12-01
15,Bizarrap,Duki,Unfollow,2021-10-14
16,Bizarrap,Duki,YaMeFui,2021-07-28
17,Bizarrap,Duki,"Like Boss - Remix (feat. Duki, Bizarrap, Akapellah, Polima Westcoast, Moonkey, Zanto, Santoz)",2019-12-13
18,Bizarrap,Duki,Malbec,2021-04-22
19,Bizarrap,Nicki Nicole,YaMeFui,2021-07-28
20,Bizarrap,Nicki Nicole,Verte,2020-12-10
21,Bizarrap,Nicki Nicole,"Nicki Nicole: Bzrp Music Sessions, Vol. 13",2019-08-14
22,Bizarrap,Nicki Nicole,Dangerous,2021-10-28
23,Bizarrap,Nicki Nicole,Plegarias,2019-11-08
24,Bizarrap,YSY A,"YSY A: Bzrp Music Sessions, Vol. 37",2021-01-27
25,Bizarrap,YSY A,#Ysya2020 Vol. 6 - Un Flow de Infarto,2020-10-26
26,Bizarrap,Asan,"Asan: Bzrp Music Sessions, Vol. 35",2020-11-11
27,Bizarrap,ACRU,Jugador del Año,2020-10-29
28,Bizarrap,KHEA,"KHEA: Bzrp Music Sessions, Vol. 34",2020-09-30
29,Bizarrap,Seven Kayne,"Seven Kayne: Bzrp Music Sessions, Vol. 33",2020-09-02
30,Bizarrap,Cazzu,"Cazzu: Bzrp Music Sessions, Vol. 32",2020-08-05
31,Bizarrap,ZARAMAY,"Zaramay: Bzrp Music Sessions, Vol. 31",2020-07-01
32,Bizarrap,Homer El Mero Mero,"HOMER EL MERO MERO: Bzrp Music Sessions, Vol. 30",2020-06-17
33,Bizarrap,LIT killah,Flexin',2020-06-11
34,Bizarrap,LIT killah,"Lit Killah: Bzrp Freestyle Sessions, Vol. 3",2018-12-29
35,Bizarrap,LIT killah,Yankee,2020-10-16
36,Bizarrap,C.R.O,"C.R.O: Bzrp Music Sessions, Vol. 29",2020-05-20
37,Bizarrap,Lucho SSJ,"Lucho SSJ: Bzrp Music Sessions, Vol. 26",2020-04-01
38,Bizarrap,Dani Ribba,"Dani Ribba: Bzrp Music Sessions, Vol. 24",2020-03-04
39,Bizarrap,Dani Ribba,"Dani Ribba: Bzrp Freestyle Sessions, Vol. 7",2019-11-07
40,Bizarrap,Pekeño 77,Lil Baby,2020-02-12
41,Bizarrap,Pekeño 77,"Pekeño 77: Bzrp Music Sessions, Vol. 5",2019-05-27
