numero,Id,Label,id_artista,popularidad,generos_musicales,genero
0,Paulo Londra,Paulo Londra,spotify:artist:3vQ0GE3mI0dAaxIMYe5g7z,78,"['argentine hip hop', 'trap argentino', 'trap latino']",male
1,Bizarrap,Bizarrap,spotify:artist:716NhGYqD1jl2wI1Qkgq36,84,"['argentine hip hop', 'pop venezolano', 'trap argentino']",male
2,Trueno,Trueno,spotify:artist:2x7PC78TmgqpEIjaGAZ0Oz,74,"['argentine hip hop', 'bases de freestyle', 'trap argentino', 'trap latino']",male
3,L-Gante,L-Gante,spotify:artist:4YYxffPVDFe9XoqqbRW6Bq,70,['cumbia 420'],male
4,Pablo Lescano,Pablo Lescano,spotify:artist:6pztqmUqWADMZQKrrmGWGx,44,[],male
5,Tiago PZK,Tiago PZK,spotify:artist:5Y3MV9DZ0d87NnVm56qSY1,79,"['trap argentino', 'trap latino']",male
6,Duki,Duki,spotify:artist:1bAftSH8umNcGZ0uyV7LMg,83,"['argentine hip hop', 'trap argentino', 'trap latino', 'trap triste']",male
7,Nicki Nicole,Nicki Nicole,spotify:artist:2UZIAOlrnyZmyzt1nuXr9y,76,"['argentine hip hop', 'r&b argentino', 'trap argentino', 'trap latino']",female
8,YSY A,YSY A,spotify:artist:2qWK8K2Jfh67UqtwY8tCW6,72,"['argentine hip hop', 'trap argentino', 'trap latino']",male
9,Asan,Asan,spotify:artist:6Nl4VXcX86fBMO4YE6oYfN,56,"['trap latino', 'trap triste']",male
10,ACRU,ACRU,spotify:artist:0bYQe0JDIjxkSHQoXlfngl,50,"['argentine hip hop', 'bases de freestyle', 'rap underground espanol']",male
11,KHEA,KHEA,spotify:artist:4m6ubhNsdwF4psNf3R8kwR,74,"['argentine hip hop', 'trap argentino', 'trap latino', 'trap triste']",male
12,Seven Kayne,Seven Kayne,spotify:artist:4C29ETLBPmYKYwtJUepbJz,62,"['argentine hip hop', 'trap argentino', 'trap latino', 'trap triste']",male
